GEOID,NAME,Total_Population,Median_Household_Income,Poverty_Count,Poverty_Rate,Total_Housing_Units_Calc,Occupied_Housing_Units,Vacant_Housing_Units,Vacancy_Rate,tract,year
56021001901,"Census Tract 19.01, Laramie County, Wyoming",5001.0,94392.0,296.0,0.0591881623675265,1931.0,1868.0,63.0,0.03262558259968928,001901,2017
56021001902,"Census Tract 19.02, Laramie County, Wyoming",4277.0,84946.0,217.0,0.05073649754500818,1924.0,1634.0,290.0,0.15072765072765074,001902,2017
56021980801,"Census Tract 9808.01, Laramie County, Wyoming",0.0,,0.0,,0.0,0.0,0.0,,980801,2017
56021002000,"Census Tract 20, Laramie County, Wyoming",8727.0,75877.0,690.0,0.07906497078033689,3553.0,3221.0,332.0,0.09344216155361666,002000,2017
56021000600,"Census Tract 6, Laramie County, Wyoming",6045.0,54769.0,715.0,0.11827956989247312,2961.0,2597.0,364.0,0.12293144208037825,000600,2017
56021000700,"Census Tract 7, Laramie County, Wyoming",4023.0,33596.0,906.0,0.22520507084265473,2366.0,1941.0,425.0,0.17962806424344885,000700,2017
56021000800,"Census Tract 8, Laramie County, Wyoming",1863.0,68462.0,156.0,0.08373590982286634,901.0,840.0,61.0,0.06770255271920089,000800,2017
56021001000,"Census Tract 10, Laramie County, Wyoming",3308.0,45129.0,465.0,0.1405683192261185,1634.0,1423.0,211.0,0.1291309669522644,001000,2017
56021001300,"Census Tract 13, Laramie County, Wyoming",8266.0,82321.0,351.0,0.04246310186305347,3561.0,3561.0,0.0,0.0,001300,2017
56021000402,"Census Tract 4.02, Laramie County, Wyoming",6923.0,38900.0,1326.0,0.19153546150512785,2697.0,2584.0,113.0,0.041898405635891735,000402,2017
56021001100,"Census Tract 11, Laramie County, Wyoming",2208.0,62200.0,21.0,0.009510869565217392,543.0,466.0,77.0,0.141804788213628,001100,2017
56021001200,"Census Tract 12, Laramie County, Wyoming",4788.0,86833.0,137.0,0.028613199665831243,2351.0,2128.0,223.0,0.09485325393449597,001200,2017
56021001502,"Census Tract 15.02, Laramie County, Wyoming",4522.0,40938.0,860.0,0.1901813356921716,2516.0,2090.0,426.0,0.16931637519872814,001502,2017
